# Constructed from biom file
#OTU ID	SRR9277638	SRR9277639	SRR9277640	SRR9277641	SRR9277642	SRR9277643	SRR9277644	SRR9277645	SRR9277646	SRR9277647	SRR9277648	SRR9277649	SRR9277650	SRR9277651	SRR9277652	SRR9277653	SRR9277654	SRR9277655	SRR9277656	SRR9277657	SRR9277658	SRR9277659	SRR9277660	SRR9277661	SRR9277662	SRR9277663	SRR9277664	SRR9277665	SRR9277666	SRR9277667
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	1151.0	25985.0	46082.0	2471.0	2399.0	29843.0	16138.0	1642.0	1351.0	5115.0	2294.0	13995.0	17900.0	1457.0	39053.0	23881.0	26976.0	6080.0	2758.0	24578.0	4539.0	54843.0	4101.0	3796.0	3969.0	27956.0	1322.0	9619.0	4338.0	2849.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia	0.0	4858.0	42982.0	710.0	212.0	29144.0	17520.0	140.0	0.0	45.0	1025.0	10597.0	34844.0	844.0	11244.0	30145.0	18060.0	945.0	935.0	24119.0	2081.0	475.0	571.0	565.0	133.0	12491.0	0.0	6251.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	4304.0	39463.0	239.0	3569.0	3539.0	9764.0	5936.0	3153.0	7524.0	170.0	559.0	4900.0	16422.0	9642.0	3201.0	1579.0	11261.0	5824.0	1154.0	12234.0	1132.0	11444.0	1804.0	5529.0	5586.0	3245.0	2887.0	9919.0	7379.0	5131.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Peptostreptococcus	3108.0	139.0	0.0	0.0	31851.0	2740.0	474.0	0.0	0.0	32.0	42.0	412.0	205.0	0.0	485.0	21.0	52.0	0.0	0.0	412.0	48.0	748.0	114.0	45.0	233.0	853.0	36.0	608.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella	452.0	778.0	8919.0	99.0	369.0	3713.0	2536.0	119.0	0.0	435.0	449.0	2204.0	678.0	4.0	3399.0	4260.0	203.0	22.0	9.0	596.0	1570.0	8808.0	378.0	915.0	526.0	5538.0	477.0	615.0	0.0	1349.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia	290.0	398.0	192.0	0.0	130.0	1566.0	5245.0	233.0	26.0	1142.0	886.0	2541.0	2569.0	369.0	2580.0	1195.0	4454.0	11829.0	2408.0	5257.0	1240.0	261.0	355.0	1802.0	588.0	14804.0	63.0	9877.0	0.0	0.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast;g__Chloroplast	0.0	0.0	8.0	2.0	0.0	33.0	16.0	0.0	0.0	0.0	0.0	251.0	50.0	0.0	75.0	809.0	24088.0	244.0	0.0	227.0	0.0	52.0	22.0	0.0	124.0	8.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella	36.0	9802.0	97.0	925.0	0.0	3149.0	1466.0	849.0	6.0	580.0	542.0	5385.0	8620.0	1821.0	455.0	1279.0	5070.0	22319.0	600.0	7204.0	258.0	8262.0	305.0	354.0	2051.0	1201.0	930.0	2708.0	0.0	34.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria	0.0	535.0	512.0	0.0	0.0	261.0	3418.0	41.0	0.0	563.0	478.0	20482.0	499.0	0.0	337.0	3794.0	818.0	24469.0	3289.0	651.0	655.0	8301.0	316.0	260.0	172.0	0.0	14.0	156.0	24.0	2713.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus	117.0	60.0	1651.0	2.0	44.0	326.0	446.0	2337.0	1425.0	508.0	166.0	2675.0	8610.0	12.0	205.0	3007.0	392.0	7467.0	578.0	263.0	327.0	8154.0	554.0	708.0	118.0	357.0	0.0	92.0	905.0	2654.0
